,field.header.stamp,time,file_name,North,West,North_dd,West_dd,lat,lon,lat_utm,lon_utm,North_deg,West_deg,North_minute_decimal,West_minute_decimal
693,1627577967287136793,2021-07-29 16:59:27.287136793,ply,4616.712947205,11940.88826951,46.27854912008333,-119.6814711585,,,5128491.893448501,293415.12835041014,46,119,16.71294720500009,40.8882695100001
694,1627577967928465366,2021-07-29 16:59:27.928465366,ply,4616.7120606749995,11940.888335445,46.27853434458333,-119.68147225741669,,,5128490.254652789,293414.9881239192,46,119,16.71206067499952,40.88833544500085
695,1627577968335866928,2021-07-29 16:59:28.335866928,ply,4616.7115691300005,11940.88833625,46.27852615216668,-119.68147227083334,,,5128489.344453056,293414.95628073235,46,119,16.7115691300005,40.888336250000066
696,1627577968832411766,2021-07-29 16:59:28.832411766,ply,4616.711023620001,11940.88842113,46.27851706033334,-119.68147368549998,,,5128488.337975774,293414.8131038976,46,119,16.71102362000056,40.88842112999919
697,1627577969312061071,2021-07-29 16:59:29.312061071,ply,4616.71054532,11940.888500519999,46.27850908866667,-119.68147500866665,,,5128487.45571824,293414.6811887788,46,119,16.710545320000165,40.88850051999907
698,1627577969821655035,2021-07-29 16:59:29.821655035,ply,4616.709983895,11940.88852801,46.27849973158333,-119.68147546683333,,,5128486.417275648,293414.6107023598,46,119,16.709983894999823,40.8885280100003
699,1627577970333630085,2021-07-29 16:59:30.333630323,ply,4616.709478805,11940.88855739,46.278491313416666,-119.68147595650001,,,5128485.483235395,293414.5413202272,46,119,16.70947880499989,40.88855739000064
700,1627577970735190392,2021-07-29 16:59:30.735190153,ply,4616.709067375,11940.8885897,46.27848445625,-119.681476495,,,5128484.722760487,293414.47404653055,46,119,16.709067374999904,40.88858970000001
701,1627577971216763496,2021-07-29 16:59:31.216763496,ply,4616.708612855,11940.88867385,46.278476880916664,-119.6814778975,,,5128483.884745235,293414.3375100645,46,119,16.708612854999956,40.88867385000049
702,1627577971662073135,2021-07-29 16:59:31.662073135,ply,4616.708136365,11940.888687955001,46.278468939416676,-119.68147813258335,,,5128483.003002127,293414.28953343595,46,119,16.708136365000428,40.88868795500093
703,1627577972150393009,2021-07-29 16:59:32.150393009,ply,4616.707582735,11940.88873305,46.27845971225,-119.68147888416667,,,5128481.979759309,293414.1969309519,46,119,16.70758273499996,40.888733050000155
704,1627577972605885029,2021-07-29 16:59:32.605885029,ply,4616.707079105,11940.888794365,46.278451318416664,-119.68147990608334,,,5128481.049810576,293414.08663612104,46,119,16.707079105000048,40.88879436500065
705,1627577973027931690,2021-07-29 16:59:33.027931690,ply,4616.70652978,11940.888865745,46.278442163,-119.68148109575002,,,5128480.03568205,293413.9605538015,46,119,16.706529779999983,40.88886574500066
706,1627577973450000286,2021-07-29 16:59:33.450000286,ply,4616.706047885,11940.888925895,46.27843413141667,-119.68148209825,,,5128479.145931195,293413.8531171101,46,119,16.70604788499986,40.888925895000284
707,1627577973932178736,2021-07-29 16:59:33.932178736,ply,4616.70541666,11940.88898236,46.278423611,-119.68148303933334,,,5128477.979493426,293413.7410520096,46,119,16.705416660000083,40.88898236000023
708,1627577974355151415,2021-07-29 16:59:34.355151415,ply,4616.704917704999,11940.889038804999,46.27841529508332,-119.68148398008331,,,5128477.057990136,293413.63730315235,46,119,16.70491770499939,40.88903880499856
709,1627577974872499228,2021-07-29 16:59:34.872499228,ply,4616.704210885,11940.88912821,46.27840351475,-119.68148547016666,,,5128475.752998422,293413.47820516786,46,119,16.704210885000066,40.8891282099994
710,1627577975295481920,2021-07-29 16:59:35.295481920,ply,4616.70371046,11940.889232549998,46.27839517433334,-119.68148720916663,,,5128474.830854558,293413.312867449,46,119,16.703710460000366,40.88923254999827
711,1627577975810346842,2021-07-29 16:59:35.810346842,ply,4616.7031132150005,11940.889391075001,46.27838522025001,-119.68148985125002,,,5128473.731775977,293413.0718880951,46,119,16.703113215000485,40.889391075001186
712,1627577976274038315,2021-07-29 16:59:36.274038315,ply,4616.7025204950005,11940.88955985,46.27837534158334,-119.68149266416667,,,5128472.641522194,293412.8180314038,46,119,16.7025204950005,40.889559850000296
713,1627577976737582684,2021-07-29 16:59:36.737582684,ply,4616.702038275,11940.88972956,46.27836730458333,-119.68149549266667,,,5128471.755931079,293412.56990018615,46,119,16.702038274999722,40.88972955999998
714,1627577977241960764,2021-07-29 16:59:37.241960764,ply,4616.701482,11940.889898720001,46.27835803333334,-119.68149831200002,,,5128470.733182281,293412.3178333718,46,119,16.701482000000397,40.88989872000093
715,1627577977686795235,2021-07-29 16:59:37.686795235,ply,4616.700984695,11940.889983335,46.278349744916675,-119.68149972225001,,,5128469.815958747,293412.17801768926,46,119,16.700984695000443,40.88998333500058
716,1627577978171952486,2021-07-29 16:59:38.171952486,ply,4616.700450295,11940.889954315,46.27834083825,-119.68149923858333,,,5128468.825104658,293412.18178317253,46,119,16.700450295000337,40.88995431500007
717,1627577978633687258,2021-07-29 16:59:38.633687258,ply,4616.6999743199995,11940.889831550001,46.27833290533332,-119.68149719250002,,,5128467.938366764,293412.3095784533,46,119,16.699974319999455,40.88983155000096
718,1627577979093823433,2021-07-29 16:59:39.093823433,ply,4616.6995523900005,11940.88947668,46.27832587316667,-119.68149127800001,,,5128467.14162106,293412.7387820545,46,119,16.699552390000463,40.88947668000037
719,1627577979559272766,2021-07-29 16:59:39.559272766,ply,4616.699230455,11940.889019490001,46.27832050758334,-119.68148365816668,,,5128466.525597551,293413.30563136376,46,119,16.69923045500036,40.889019490001374
720,1627577979990634441,2021-07-29 16:59:39.990634441,ply,4616.698985265,11940.88842676,46.27831642108334,-119.68147377933334,,,5128466.045798571,293414.0513232711,46,119,16.698985265000374,40.888426760000584
721,1627577980493398666,2021-07-29 16:59:40.493398666,ply,4616.698813055,11940.887694655,46.278313550916664,-119.68146157758335,,,5128465.695085549,293414.9805458866,46,119,16.698813054999846,40.887694655000814
722,1627577980960920095,2021-07-29 16:59:40.960920095,ply,4616.69885011,11940.88703492,46.27831416850001,-119.68145058200001,,,5128465.735031251,293415.8299625169,46,119,16.69885011000042,40.88703492000059
723,1627577981429898024,2021-07-29 16:59:41.429898024,ply,4616.69896284,11940.886345195,46.27831604733333,-119.68143908658334,,,5128465.913807388,293416.7226291901,46,119,16.698962839999695,40.886345195000104
724,1627577981863144636,2021-07-29 16:59:41.863144636,ply,4616.69909115,11940.885824485,46.27831818583333,-119.68143040808333,,,5128466.128779762,293417.39925853367,46,119,16.69909114999973,40.88582448499983
725,1627577982295645237,2021-07-29 16:59:42.295645237,ply,4616.699307415,11940.885286805,46.27832179024999,-119.68142144675,,,5128466.505888282,293418.1031899673,46,119,16.699307414999566,40.88528680499985
726,1627577982790629387,2021-07-29 16:59:42.790629387,ply,4616.6995682,11940.884916715,46.278326136666664,-119.68141527858333,,,5128466.972721618,293418.59472763765,46,119,16.699568199999703,40.884916715000145
727,1627577983230782986,2021-07-29 16:59:43.230782986,ply,4616.69979666,11940.884656635,46.278329944333336,-119.68141094391667,,,5128467.384477061,293418.9429873326,46,119,16.699796660000175,40.88465663500028
728,1627577983712801218,2021-07-29 16:59:43.712801218,ply,4616.6999130799995,11940.88452769,46.278331884666656,-119.68140879483332,,,5128467.594457782,293419.11584845954,46,119,16.699913079999533,40.88452768999923
729,1627577984199668646,2021-07-29 16:59:44.199668646,ply,4616.700024545,11940.88436426,46.27833374241666,-119.68140607100001,,,5128467.793764233,293419.3326774328,46,119,16.700024544999906,40.88436426000044
730,1627577984650289297,2021-07-29 16:59:44.650289297,ply,4616.70009608,11940.884267975001,46.27833493466666,-119.68140446625003,,,5128467.92204706,293419.4607901191,46,119,16.70009607999964,40.88426797500142
731,1627577985115713596,2021-07-29 16:59:45.115713596,ply,4616.7001613249995,11940.884202444999,46.27833602208332,-119.68140337408332,,,5128468.040018762,293419.5490194241,46,119,16.7001613249995,40.884202444998664
732,1627577985577909470,2021-07-29 16:59:45.577909470,ply,4616.700186905,11940.884173855,46.27833644841667,-119.68140289758334,,,5128468.086144876,293419.58733200503,46,119,16.70018690500001,40.88417385499997
733,1627577986029707909,2021-07-29 16:59:46.029708147,ply,4616.700216845,11940.88412762,46.27833694741666,-119.681402127,,,5128468.139577923,293419.6485738822,46,119,16.700216844999886,40.88412762000007
734,1627577986478754520,2021-07-29 16:59:46.478754520,ply,4616.70028055,11940.884042765,46.27833800916666,-119.68140071274999,,,5128468.2538580345,293419.7615197783,46,119,16.70028054999966,40.88404276499932
735,1627577986950390100,2021-07-29 16:59:46.950390100,ply,4616.7003535,11940.883976739999,46.278339225,-119.68139961233331,,,5128468.386076219,293419.8508675744,46,119,16.700353500000347,40.883976739998616
736,1627577987391234636,2021-07-29 16:59:47.391234636,ply,4616.7004386,11940.883892245,46.27834064333333,-119.68139820408332,,,5128468.539990877,293419.96469220077,46,119,16.70043859999987,40.883892244999515
737,1627577987869342804,2021-07-29 16:59:47.869342804,ply,4616.700527505,11940.883818645001,46.27834212508333,-119.68139697741668,,,5128468.701425057,293420.06476623047,46,119,16.700527504999627,40.883818645001156
738,1627577988328657389,2021-07-29 16:59:48.328657389,ply,4616.700686245,11940.883667855,46.278344770749996,-119.68139446424999,,,5128468.988823906,293420.2683285521,46,119,16.700686244999815,40.88366785499966
739,1627577988796036482,2021-07-29 16:59:48.796036720,ply,4616.70082749,11940.883470065,46.27834712483333,-119.68139116775001,,,5128469.241783242,293420.53114188043,46,119,16.700827489999938,40.88347006500044
740,1627577989262051821,2021-07-29 16:59:49.262051821,ply,4616.70098863,11940.883284880001,46.2783498105,-119.68138808133335,,,5128469.532131611,293420.779017442,46,119,16.70098863000021,40.883284880001156
741,1627577989700569153,2021-07-29 16:59:49.700569153,ply,4616.7011767349995,11940.883028165,46.27835294558333,-119.68138380275,,,5128469.869304705,293421.1204269051,46,119,16.701176734999535,40.883028165000724
742,1627577990144590855,2021-07-29 16:59:50.144590855,ply,4616.701408105,11940.882833275,46.27835680175,-119.68138055458333,,,5128470.289282055,293421.38516533154,46,119,16.701408105000155,40.88283327499994
743,1627577990585378408,2021-07-29 16:59:50.585378408,ply,4616.7016425599995,11940.88262688,46.27836070933333,-119.68137711466667,,,5128470.714472172,293421.6648693874,46,119,16.701642559999527,40.882626880000316
744,1627577991067070961,2021-07-29 16:59:51.067070961,ply,4616.7018791499995,11940.882427085,46.278364652499995,-119.68137378475,,,5128471.143902684,293421.9362328859,46,119,16.701879149999513,40.88242708500002
745,1627577991539590359,2021-07-29 16:59:51.539590359,ply,4616.702156735,11940.88219798,46.27836927891667,-119.68136996633332,,,5128471.647973282,293422.24779952446,46,119,16.702156735000244,40.882197979999546
746,1627577992008314610,2021-07-29 16:59:52.008314610,ply,4616.70236477,11940.88194673,46.27837274616666,-119.68136577883334,,,5128472.02228999,293422.5834409285,46,119,16.702364769999804,40.88194672999998
747,1627577992422498941,2021-07-29 16:59:52.422498703,ply,4616.70261931,11940.881758745,46.2783769885,-119.68136264574999,,,5128472.485473294,293422.84076543205,46,119,16.702619310000046,40.88175874499939
748,1627577992986375332,2021-07-29 16:59:52.986375332,ply,4616.702911955001,11940.88153396,46.27838186591668,-119.68135889933335,,,5128473.017619528,293423.1477290001,46,119,16.702911955000673,40.881533960000525
749,1627577993459930420,2021-07-29 16:59:53.459930420,ply,4616.70317318,11940.881333915,46.278386219666665,-119.68135556525,,,5128473.492657911,293423.4209573303,46,119,16.703173179999794,40.88133391500014
750,1627577993963245869,2021-07-29 16:59:53.963245869,ply,4616.703426515,11940.88105335,46.27839044191666,-119.68135088916667,,,5128473.949586472,293423.7970779526,46,119,16.70342651499959,40.88105335
751,1627577994433716536,2021-07-29 16:59:54.433716536,ply,4616.70372662,11940.880862915,46.278395443666675,-119.68134771525001,,,5128474.497039845,293424.0604038971,46,119,16.703726620000452,40.88086291500076
752,1627577994934008360,2021-07-29 16:59:54.934008360,ply,4616.7040073200005,11940.8805599,46.27840012200001,-119.68134266500002,,,5128475.003666849,293424.4670651024,46,119,16.704007320000528,40.88055990000066
753,1627577995394731998,2021-07-29 16:59:55.394731998,ply,4616.704278195,11940.880297805,46.27840463658334,-119.68133829675001,,,5128475.493878418,293424.82056961086,46,119,16.70427819500037,40.88029780500074
754,1627577995859218597,2021-07-29 16:59:55.859218597,ply,4616.704565575,11940.880102005,46.27840942625,-119.68133503341666,,,5128476.017534737,293425.08998646535,46,119,16.704565574999833,40.88010200499957
755,1627577996355287790,2021-07-29 16:59:56.355287790,ply,4616.70485702,11940.879804265,46.27841428366667,-119.68133007108332,,,5128476.5442884555,293425.49054789986,46,119,16.704857020000418,40.87980426499962
756,1627577996860633850,2021-07-29 16:59:56.860633850,ply,4616.70516499,11940.879545535001,46.27841941650001,-119.68132575891669,,,5128477.103338208,293425.84205656743,46,119,16.705164990000412,40.87954553500094
757,1627577997331416607,2021-07-29 16:59:57.331416607,ply,4616.705498525,11940.87930858,46.27842497541666,-119.68132180966668,,,5128477.7106751045,293426.16720861755,46,119,16.70549852499971,40.879308580000725
758,1627577997821534395,2021-07-29 16:59:57.821534395,ply,4616.705824735,11940.879037015,46.278430412249996,-119.68131728358334,,,5128478.302943636,293426.53634036216,46,119,16.705824734999624,40.879037014999994
759,1627577998334759235,2021-07-29 16:59:58.334759235,ply,4616.706112075,11940.878830565001,46.278435201250005,-119.68131384275003,,,5128478.82606313,293426.81942893367,46,119,16.70611207500042,40.87883056500141
760,1627577998818331480,2021-07-29 16:59:58.818331480,ply,4616.706431455,11940.878566995001,46.278440524249994,-119.68130944991668,,,5128479.406031461,293427.1778669971,46,119,16.7064314549998,40.878566995001165
761,1627577999253172874,2021-07-29 16:59:59.253172874,ply,4616.7066792900005,11940.878405735,46.27844465483334,-119.68130676225,,,5128479.857960142,293427.4004560587,46,119,16.706679290000466,40.87840573500034
762,1627577999716205597,2021-07-29 16:59:59.716205597,ply,4616.706921075,11940.878223775,46.278448684583324,-119.68130372958333,,,5128480.297785968,293427.64924446377,46,119,16.706921074999627,40.87822377500015
763,1627578000167034864,2021-07-29 17:00:00.167034864,ply,4616.7071514399995,11940.877988125001,46.278452523999995,-119.68129980208336,,,5128480.714131208,293427.96625441127,46,119,16.707151439999507,40.87798812500114
764,1627578000619949102,2021-07-29 17:00:00.619949102,ply,4616.707437135,11940.877798205001,46.278457285583336,-119.68129663675002,,,5128481.234922931,293428.22801534395,46,119,16.707437134999964,40.877798205001454
765,1627578001112654209,2021-07-29 17:00:01.112654448,ply,4616.707695375,11940.87763663,46.27846158958334,-119.68129394383335,,,5128481.706105759,293428.4516608601,46,119,16.707695375000185,40.87763663000078
766,1627578001572969913,2021-07-29 17:00:01.572969913,ply,4616.70796215,11940.877433270001,46.278466035833326,-119.68129055450002,,,5128482.191277695,293428.7294927051,46,119,16.70796214999973,40.87743327000135
767,1627578002049564838,2021-07-29 17:00:02.049564838,ply,4616.70820798,11940.87719613,46.278470133000006,-119.68128660216668,,,5128482.636196063,293429.0493848978,46,119,16.708207980000225,40.87719613000081
768,1627578002549725533,2021-07-29 17:00:02.549725533,ply,4616.70851764,11940.876949559999,46.278475293999996,-119.68128249266665,,,5128483.1989039555,293429.3853855679,46,119,16.708517639999627,40.87694955999905
769,1627578003031089544,2021-07-29 17:00:03.031089783,ply,4616.7087863550005,11940.876701085,46.27847977258334,-119.68127835141668,,,5128483.685707822,293429.7212659665,46,119,16.708786355000484,40.876701085000605
770,1627578003484289408,2021-07-29 17:00:03.484289646,ply,4616.70904272,11940.876477155,46.278484045333336,-119.68127461924999,,,5128484.150708839,293430.0248568185,46,119,16.70904272000007,40.87647715499952
771,1627578003962002754,2021-07-29 17:00:03.962002754,ply,4616.709327155,11940.876217305,46.27848878591667,-119.68127028841667,,,5128484.666128446,293430.3763277162,46,119,16.70932715500021,40.876217304999955
