,North,North_dd,West,West_dd,field.header.stamp,file_name,lat,lat_utm,lon,lon_utm,time,North_deg,West_deg,North_minute_decimal,West_minute_decimal
1207,4616.743459425001,46.27905765708335,11940.849806125,-119.68083010208332,1627578204360533714,ply,0.8077219308363973,185642.21175925294,-2.088824536801295,9125169.82443735,2021-07-29 17:03:24.360533714,46,119,16.743459425000765,40.849806124999304
1208,4616.7438583,46.279064305000006,11940.849548775,-119.68082581291668,1627578204776376247,ply,0.8077220468644314,185642.23886297076,-2.0888244619412153,9125169.841058385,2021-07-29 17:03:24.776376247,46,119,16.743858300000284,40.849548775000585
1209,4616.744162325,46.27906937208333,11940.849340675,-119.68082234458333,1627578205141105413,ply,0.8077221353017188,185642.25954241725,-2.0888244014073787,9125169.854530651,2021-07-29 17:03:25.141105413,46,119,16.744162324999706,40.84934067500035
1210,4616.744588935,46.279076482250005,11940.849130315,-119.68081883858333,1627578205582685709,ply,0.8077222593975377,185642.28841763455,-2.088824340216135,9125169.86794267,2021-07-29 17:03:25.582685709,46,119,16.744588935000138,40.849130315000366
1211,4616.745003515,46.27908339191666,11940.84901156,-119.68081685933333,1627578205975356817,ply,0.807722379993971,185642.31632925407,-2.088824305671706,9125169.875213316,2021-07-29 17:03:25.975356817,46,119,16.745003514999553,40.84901155999978
1212,4616.74536339,46.27908938983334,11940.848955285,-119.68081592141668,1627578206322330713,ply,0.8077224846773653,185642.34047625843,-2.0888242893019724,9125169.878375707,2021-07-29 17:03:26.322330713,46,119,16.74536339000042,40.84895528500056
1213,4616.74578739,46.27909645650001,11940.848886185,-119.68081476975,1627578206746371508,ply,0.8077226080139659,185642.36893081854,-2.088824269201597,9125169.882289778,2021-07-29 17:03:26.746371508,46,119,16.74578739000026,40.84888618500008
1214,4616.746098195,46.27910163658333,11940.84895825,-119.68081597083334,1627578207110586882,ply,0.8077226984234753,185642.38957496433,-2.0888242901644554,9125169.876903798,2021-07-29 17:03:27.110586882,46,119,16.74609819499983,40.84895825000058
1215,4616.74646646,46.27910777433333,11940.849051180001,-119.68081751966669,1627578207532816648,ply,0.8077228055474216,185642.41402254457,-2.088824317196697,9125169.870014736,2021-07-29 17:03:27.532816647,46,119,16.746466460000192,40.84905118000097
1216,4616.746702265,46.279111704416664,11940.84918827,-119.6808198045,1627578207880912781,ply,0.8077228741403156,185642.42954141053,-2.0888243570745613,9125169.860384444,2021-07-29 17:03:27.880912781,46,119,16.74670226499984,40.84918827000001
1217,4616.746954585,46.27911590975,11940.849380545,-119.68082300908333,1627578208267790794,ply,0.8077229475372284,185642.44606770566,-2.0888244130050913,9125169.847013298,2021-07-29 17:03:28.267790794,46,119,16.746954584999912,40.8493805449998
1218,4616.74723231,46.2791205385,11940.84956499,-119.68082608316666,1627578208687615395,ply,0.8077230283241562,185642.46430535728,-2.088824466657967,9125169.834124874,2021-07-29 17:03:28.687615395,46,119,16.747232310000072,40.849564989999635
1219,4616.747398735,46.27912331225001,11940.849689285,-119.68082815475,1627578209009722710,ply,0.8077230767352265,185642.47521015877,-2.0888245028139174,9125169.82547544,2021-07-29 17:03:29.009722710,46,119,16.747398735000388,40.84968928499984
1220,4616.747621955,46.27912703258333,11940.849921125,-119.68083201875,1627578209406511545,ply,0.8077231416672922,185642.48972285603,-2.0888245702534394,9125169.809493173,2021-07-29 17:03:29.406511545,46,119,16.747621954999886,40.84992112500004
1221,4616.747865565,46.279131092750006,11940.850210465,-119.68083684108333,1627578209878005028,ply,0.8077232125305689,185642.5054978965,-2.088824654419034,9125169.789607609,2021-07-29 17:03:29.878005028,46,119,16.74786556500021,40.85021046499969
1222,4616.748054775,46.27913424625,11940.850415345,-119.68084025574998,1627578210239995956,ply,0.8077232675695267,185642.51778484724,-2.0888247140162095,9125169.77549782,2021-07-29 17:03:30.239995956,46,119,16.748054775000128,40.85041534499942
1223,4616.748269325,46.27913782208334,11940.850665245001,-119.68084442075002,1627578210669758320,ply,0.8077233299795921,185642.53168668342,-2.0888247867091736,9125169.75831568,2021-07-29 17:03:30.669758320,46,119,16.748269325000365,40.85066524500144
1224,4616.748533225,46.27914222041667,11940.850953370002,-119.68084922283336,1627578211073454618,ply,0.8077234067449902,185642.54881973544,-2.088824870521339,9125169.738476716,2021-07-29 17:03:31.073454618,46,119,16.748533224999846,40.85095337000166
1225,4616.74873506,46.27914558433334,11940.85121419,-119.68085356983332,1627578211422623873,ply,0.8077234654564119,185642.56185284685,-2.0888249463908006,9125169.720582012,2021-07-29 17:03:31.422624111,46,119,16.7487350600004,40.851214189999155
1226,4616.749045075,46.27915075125,11940.85153208,-119.680858868,1627578211876952648,ply,0.8077235556361197,185642.58201568085,-2.0888250388612537,9125169.698660923,2021-07-29 17:03:31.876952648,46,119,16.74904507500014,40.85153207999974
1227,4616.7493288900005,46.279155481500005,11940.851871595001,-119.68086452658335,1627578212290837288,ply,0.8077236381945568,185642.60038998464,-2.0888251376221643,9125169.675330503,2021-07-29 17:03:32.290837288,46,119,16.74932889000047,40.851871595001285
1228,4616.749597,46.27915995,11940.85219856,-119.680869976,1627578212679581404,ply,0.8077237161845944,185642.61773666713,-2.088825232732427,9125169.652871506,2021-07-29 17:03:32.679581404,46,119,16.749596999999994,40.85219856000003
